A|art.|un|
DUPE|n.|dupe|
DUPE|v.|dupar, fraudar, bluffar|
DUPLICATE|v.|duplicar (-ate)|
DUPLICITY|n.|duplicitá, perfidie|
DURABLE|adj.|durabil (-itá), stabil|
DURATION|n.|duration, durada|
DURESS|n.|prison, cárcer, arest|
DURING|prep.|durante|
DUSK|n.|crepuscul; (morning) aurora|
DUSKY|adj.|obscur, nigratri|
DUST|v.|(remove dust) terger, essuyar, depolvar; (to powder) surpluverar|
DUST|n.|polve (-osi)|
DUSTER|n.|tergette, polv-linage, essuyette|
DUSTPAN|n.|cindriere|
DUTY|n.|deve(ntie); (on goods) impost, tribute|
DUTY FREE|adj.|exempt de doane|
DWARF|n.|pigmé, nan|
DWELL|v.|logiar, habitar|
DWELL UPON|v.|emfasar, tractar detalliatmen|
DWELLING|n.|logí, logiment, domicilie, habitation|
DWINDLE|v.|decrescer, diminuer|
DYE|n.|tinctura, pigment (-ar), color|
DYKE|n.|diga(ment), tranché|
DYNAMITE|n.|dinamite|
DYNAMO|n.|dinamo (-ic, -ica, -ist, -isme, -ometre)|
DYNASTY|n.|dinastie (-ic)|
DYSENTERY|n.|disenterie|
DYSPEPSIA|n.|dispepsie|
DYSPEPTIC|adj.|dispeptic|
EACH|adj.|chascun, singul|
EACH OTHER|pron.|unaltru|
EAGER|adj.|zelosi, fervent, fervorosi, ardent; avid|
EAGLE|n.|áquil (-in)|
EAR|n.|orel; (of corn) spica; (for music) audie musical|
EAR-ACHE|n.|orel-dolore|
EAR-SPLITTING|adj.|assurdant|
EARL|n.|comto (-atu)|
EARLY|adj., adv.|tost, temporan|
EARN|v.|ganiar; meriter|
EARNEST|n.|garantie|
EARNEST|adj.|sinceri, fervid, zelosi|
EARNINGS|n.|ganie|
EARTH|n.|terre, suol; (the earth) terra (-an, -estri)|
EARTHENWARE|n.|potteríe, fayance|
EARTHQUAKE|n.|sisme, terr-tremore|
EARTHTREMOR|n.|sisme|
EARWIG|n.|forficul|
EASE|v.|facilisar, aleviar, mitigar|
EASE|n.|comfort, repose, tranquilitá; facilitá|
EASEL|n.|stative|
EAST|n.|oriente, ost|
EASTER|n.|pasca (-al)|
EASY|adj.|facil (-itá), levi, tranquil|
EASY-CHAIR|n.|fotel|
EASY-GOING|adj.|indulgent, benigni, tolerant|
EAT|v.|manjar, vorar|
EAT INTO|v.|coroder|
EATABLES|n.pl.|comestibles, victuales, manjages|
EAU-DE-COLOGNE|n.|aqua de Colonia|
EAVES|n.pl.|bord de tegment, guttiere|
EAVESDROP|v.|subescutar (-ard)|
EBB|n.|bass marea, reflut|
EBB AND FLOW|n.|flut e reflut|
EBONY|n.|eben|
EBULLIENT|adj.|bolllent|
ECCENTRIC|n.|originale, particulard|
ECCENTRIC|adj.|excentric (-itá)|
ECCLESIASTIC|adj.|eclesiastic (-o), eclesial|
ECHO|n.|ecó (-ar)|
ECHO|v.|ecoar, repercusser (se)|XXX FIXME -- ecoar/ecóar (this entry was extracted from the noun)
ECLAT|n.|eclate (-ant)|
ECLECTIC|adj.|eclectic|
ECLIPSE|n.|eclipse|
ECLIPTIC|adj.|ecliptic|
ECLIPTIC|n.|ecliptica|
ECONOMY|n.|economie (-ic, -ist, -isar), sparniada|
ECSTASY|n.|extase (-tic)|
ECZEMA|n.|eczema|
EDDY|n.|virl (-ar)|
EDENTATE|adj.|edentat|
EDGE|v.|orlar, bordurar; (put an edge on) acutar|
EDGE|n.|bord, márgine; (of knife) tranchante|
EDGING|n.|bordura|
EDIBLE|adj.|manjabil|
EDICT|n.|edicte|
EDIFICE|n.|edificie, structura|
EDIFY|v.|edificar (-ation)|
EDIT|v.|redacter (-ion, -or, -oria)|
EDITORIAL|n.|articul redactori|
EDUCATE|v.|educar (-ation, -ator, -ativ)|
EDUCATED|adj.|instructet, doct, erudit|
EEL|n.|anguille|
EELBASKET||nasse|XXX FIXME "EELBASKET"?
EERIE|adj.|magic, ínquietant, fantomátri|
EFFACE|v.|efaciar, exterger, extinter, anullar|
EFFECT|n.|efecte (-er, -iv, -ivar), resultate, consequentie|
EFFECTUAL|adj.|efectiv, eficaci|
EFFECTUATE|v.|efectuar, realisar|
EFFEMINATE|adj.|efeminat, feminil|
EFFERVESCE|v.|efervescer (-ent, -entie)|
EFFETE|adj.|caduc, decadent|
EFFICACIOUS|adj.|eficaci|
EFFICIENT|adj.|eficient, capabil, competent; (effective) efectiv|
EFFIGY|n.|efigie|
EFFLORESCE|v.|florescer|
EFFLUENCE|n.|e(x)fluentie, emanation|
EFFLUVIUM|n.|exhalation, miasma|
EFFORT|n.|efortie, efortiation, pena|
EFFRONTERY|n.|impertinentie|
EFFULGENT|adj.|splendent, radiant|
EFFUSE|v.|efuser (-ion, -iv)|
EGG|n.|ove|
EGG ON|v.|incitar, instigar|
EGG-GUP|n.|oviero|
EGG-SHELL|n.|cortice de ove|
EGLANTINE|n.|rose savagi|
EGO|n.|ego (-ist, -istic, -isme)|
EGREGIOUS|adj.|monstruosi, extraordinari, colossal|
EGRESS|n.|exeada, surtida|
EIDERDOWN|n.|eiderdon|
EIGHT|adj., n.|ott|
EIGHTEEN|adj., n.|deci-ott|
EIGHTH|adj., n.|ottesim|
EIGHTY|adj.|ottanti|
EITHER|adj., pron.|alcun; (each) chascun; (both) ambi|
EITHER ... OR ...|conj.|sive ... sive ..., o ... o ...|
EJACULATE|v.|exclamar, ejacular|
EJECT|v.|ejecter (-ion, -or), expulser|
EKE OUT|v.|prolongar, supleer|
ELABORATE|v.|elaborar (-ation)|
ELAPSE|v.|passar, expirar, preterir|
ELASTIC|adj.|elastic (-itá)|
ELASTIC|n.|gumme; elasticage|
ELATE|v.|exaltar, far gay, far fieri|
ELBOW|v.|pussar per li cude|
ELBOW|n.|cude|
ELBOW REST|n.|cuduore|
ELDER|adj.|plu old|
ELDER|n.|(bot.) sambuc|
ELDER|eccl.|presbitero|
ELDERLY|adj.|oldatri|
ELECT|adj.|electet|
ELECT|v.|(to office) electer (-ion, -iv); selector, preferer|
ELECTIONEER|v.|agitar por influentiar votation|
ELECTOR|n.|elector (-al, -atu)|
ELECTRIC|adj.|electric (-itá)|
ELECTRICAL|adj.|electric (-itá)|
ELECTRICIAN|n.|electrico|
ELECTRICITY WORKS|n.|electrogeneratoria|
ELECTRIFY|v.|electrisar|
ELECTRO|prefix|as in English: electro-cuter, -lise, -magnete, -motor|
ELECTRODE|n.|electrode|
ELECTRON|n.|electron (-ic)|
ELECTROPLATE|v.|electro-argentar|
ELEEMOSYNARY|adj.|almosnari|
ELEGANT|adj.|elegant (-ie), gracil, chic|
ELEGY|n.|elegie|
ELEMENT|n.|element (-al, -ari), parte, ingrediente|
ELEPHANT|n.|elefant (-in)|
ELEVATE|v.|elevar (-ation, -ator), edificar|
ELEVATION|n.|altore|
ELEVEN|adj., n.|deci-un|
ELF|n.|elf, silf|
ELICIT|v.|educter, extraer|
ELIDE|v.|ediDer (-sion, -sibil)|
ELIGIBLE|adj.|electibil, selectibil|
ELIMINATE|v.|eliminar (-ation, -atori)|
ELISION|n.|elision|
ELITE|n.|elite|
ELIXIR|n.|elixire|
ELK|n.|alce|
ELL|n.|cudade, ulne|
ELLIPSE|n.|elipse (-tic)|
ELM|n.|ulm|
ELOCUTION|n.|discurse, articulation|
ELONGATE|v.|elongar (-ation)|
ELOPE|v.|forcurrer|
ELOQUENT|adj.|eloquent (-ie)|
ELSE|adv.|altrimen|
ELUCIDATE|v.|elucidar (-ation), eclarar|
ELUDE|v.|evitar, escapar, eluder, circumear|
EMACIATED|adj.|marasmat, magri|
EMANATE|v.|emanar (-ation), exfluer, provenir|
EMANCIPATE|v.|emancipar (-ation), liberar|
EMASCULATE|v.|castrar, emascular|
EMBALM|v.|inbalsamar|
EMBANK|v.|circumdigar, invallar|
EMBANKMENT|n.|diga, vail|
EMBARGO|n.|embargo , barre|
EMBARK|v.|inbarcar|
EMBARK UPON|v.|interprender|
EMBARRASS|v.|embarassar (-ament)|
EMBASSY|n.|ambassade (-or), legation|
EMBATTLED|adj.|pret por battallie, ordinat por battallie; crenellat|
EMBED|v.|inbedar, plantar, fixar|
EMBELLISH|v.|ornar, abellar|
EMBER|n.|ardent cindre|
EMBERS|n.|(wood) brase|
EMBEZZLE|v.|defraudar|
EMBITTER|v.|amarisar|
EMBLAZON|v.|inblazonar|
EMBLEM|n.|emblema (-tic), devise|
EMBODY|v.|incarnar, incorporar, includer|
EMBOLDEN|v.|incoragear|
EMBONPOINT|n.|corpulentie|
EMBOSS|v.|bossar, reliefar, bosselar|
EMBRACE|v.|inbrassar, circumbrassar|
EMBRASURE|n.|embrasura|
EMBROCATION|n.|frotte-remedie|
EMBROIDER|v.|brodar (-erie, -ero)|
EMBROIL|v.|implicar, inbrolliar (ye); (things) complicar|
EMBRYO|n.|embrion (-ic)|
EMEND|v.|emendar (-ation, -abil)|
EMERALD|n.|smeralde|
EMERGE|v.|emerser, aparir|
EMERGENCY|n.|casu inprevidet, casu urgent|
EMERGENCY EXIT|n.|porta de securitá|
EMERITUS|adj.|emerit|
EMERY|n.|smeril|
EMETIC|adj.|vomitiv|
EMETIC|n.|vomitive, emetica|
EMIGRATE|v.|emigrar (-ant, -ation)|
EMINENT|adj.|eminent (-ie)|
EMIR|n.|emir|
EMISSARY|n.|emissario|
EMIT|v.|emisser (-ion); far audir|
EMMET|n.|formic|XXX FIXME -- formíc
EMOLLIENT|adj.|emollant|
EMOLUMENT|n.|honorarie, emolument|
EMOTION|n.|emotion (-al, -alisme)|
EMPEROR|n.|imperator (-tressa)|
EMPHASIS|n.|emfaSe (-ar, -tic)|
EMPIRE|n.|imperie, regnum; (land) imperia|
EMPIRIC|adj.|empiric|
EMPLOY|v.|employar (-ament, -ate); ocupar; usar, utilisar, aplicar; prender in servicie|
EMPORIUM|n.|magasine, bazar|
EMPOWER|v.|autorisar|
EMPRESS|n.|imperatressa|
EMPTY|v.|(e)vacuar|
EMPTY|adj.|vacui (-tá)|
EMU|n.|emu|
EMULATE|v.|emular (-ation)|
EMULSION|n.|emulsion|
ENABLE|v.|dar li possibilitá, permisser|
ENACT|v.|decreter; (perform) far|
ENAMEL|n.|esmalte (-ar)|
ENAMOUR|v.|inamorar|
ENCAGE|v.|incagear|
ENCAMP|mil.|campar se|
ENCAMPMENT|n.|campation; (fortification) forteresse|
ENCASH|v.|incassar|
ENCEINTE|adj.|gravid|
ENCHAIN|v.|incatenar|
ENCHANT|v.|charmar, ravisser, fascinar; insorciar|
ENCIRCLE|v.|circumdar, circumar, incircular, cernar|
ENCLOSE|v.|includer, contener, junter; (fence in) inpalissadar, inhagar|
ENCLOSURE|n.|(in letter) includete; (field) inhagatura|
ENCOMIUM|n.|laudation, elogie|
ENCOMPASS|v.|includer, cernar, inbrassar|
ENCORE|interj.|denove!, bis!, da capo!|
ENCOUNTER|n.|incontra (-ar); combatte|
ENCOURAGE|v.|incoragear, stimular|
ENCROACH ON|v.|trader se a, inmixter se in; (of sea) eroDer|
ENCRUST|v.|incrustar|
ENCUMBER|v.|genar, surchargear, impedir, incombrar|
ENCYCLOPEDIA|n.|enciclopedie|
END|v.|finir, terminar|
END|n.|fine, extremitá; (aim) scope|
ENDANGER|v.|indangerar|
ENDEAR|v.|incarar, far car, far amat, popularisar|
ENDEAVOUR|v.|penar, efortiar se|
ENDING|n.|finition, finale; fine|
ENDIVE|n.|endivie|
ENDLESS|adj.|sin fine, ínterminabil|
ENDORSE|v.|indossar|
ENDOW|v.|dotar, furnir per|
ENDURE|v.|suffrer, tolerar, suportar, durar|
ENEMA|n.|clistere, lavament|
ENEMY|n.|inamíco, adversario|
ENERGY|n.|energie (-ic)|
ENERVATE|v.|enervar, debilisar|
ENFEEBLE|v.|debilisar|
ENFOLD|v.|invelopar, cernar, inbrassar|
ENFORCE|v.|efectivar, infortiar, validisar|
ENFRANCHISE|v.|dar jure de electer, dar li sufragie; liberar|
ENGAGE|v.|(pledge) ingagear; (hire) luar; (employ) employar; (in work etc.) ocupar se per; implicar se; (mil.) ataccar; (engage upon) interprender|
ENGAGED|adj.|ocupat; (betrothed) spondet|
ENGAGEMENT|n.|rendevú, arangeament; (betrothal) sponsion|
ENGAGING|adj.|charmant, atrativ, suavi|
ENGENDER|v.|generar, causar, producter|
ENGINE|n.|machine, locomotive|
ENGINEER|v.|elaborar, constructer, efectuar, causar|
ENGINEER|n.|ingeniero, técnico|
ENGIRD|v.|cinter, cernar|
ENGLISH|adj.|anglesi (-o, -a)|
ENGRAVE|v.|graver (-ero, -ura)|
ENGROSS|v.|absorpter (-ion, -iv)|
ENGULF|v.|devorar, glotir|
ENHANCE|v.|augmentar|
ENIGMA|n.|enigma (-tic)|
ENJOIN|v.|ordonar, advertir|
ENJOY|v.|juir, amusar se per|
ENJOYMENT|n.|juition, plesura|
ENLARGE|v.|agrandar, augmentar, expander|
ENLIGHTEN|v.|informar, lucidar, aclarar, explicar|
ENLIGHTENED|adj.|civilisat, erudit|
ENLIST|v.|adherer a; (mil.) inrolar se, recrutar, devenir soldat|
ENLIVEN|v.|animar, viventar|
ENMITY|n.|ínamicitá, odie|
ENNOBLE|v.|anoblar, exaltar|
ENNUI|n.|enoya|
ENORMITY|n.|atrocitá|
ENORMOUS|adj.|enorm (-itá), grandissim, imensi|
ENOUGH|adj.|suficent (-ie, -men), sat|
ENOUGH!|interj.|basta!|
ENQUIRE|v.|informar se pri, questionar, inquisir, demandar; (enquire into) explorar, investigar|
ENQUIRY|n.|inqueste (-er, -or), demanda|
ENRAGE|v.|colerar, arabiar, infuriar|
ENRAPTURE|v.|delectar, charmar, rarisser, entusiasmar|
ENRICH|v.|arichar, inrichar|
ENROL|v.|inscrir, (in)registrar, inrolar (se)|
ENSCONCE|v.|installar se|
ENSCONCED IN HIS CHAIR|adj.|plongeat in su fotel|
ENSHRINE|v.|conservar quam reliquie|
ENSHROUD|v.|invelopar, velar|
ENSIGN|n.|standarte, baniere|
ENSLAVE|v.|insclavar, subjugar|
ENSNARE|v.|capter (in lace o sling), seducter, atrappar|
ENSUE|v.|sequer, evenir|
ENSURE|v.|far cert, assecurar|
ENTAIL|n.|ínalienabil heredage|
ENTAIL|v.|involuer, implicar, necessitar, imposir|
ENTANGLE|v.|implicar, involuer, capter, inbrolliar|
ENTER|v.|intrar, inear; (in a book) inscrir, registrar|
ENTER INTO A CONTRACT|v.|contratar|
ENTER UPON|v.|comensar, interprender|
ENTERPRISE|n.|interprense, iniciative|
ENTERTAIN|v.|intertener, divertisser, amusar; acceptar, dar hospedalitá, regalar|
ENTERTAINMENT|n.|divertissement, hospedalitá|
ENTHRAL|v.|ravisser, fascinar; subjugar|
ENTHRONE|v.|intronar|
ENTHUSIASM|n.|entusiasme (-ar, -ast, -astic)|
ENTICE|v.|seducter, lurar, atraer|
ENTIRE|adj.|tot, complet, integri|
ENTITLE|v.|titular|
ENTITY|n.|ente, entitá|
ENTOMB|v.|interrar, sepulter, inhumar|
ENTOMOLOGIST|n.|entomolog (-ie)|
ENTRAILS|n.|visceres, intrallia, intestines|
ENTRAIN|v.|inbarcar in un tren|
ENTRANCE|n.|(place) intrada, porta (threshold) sill|
ENTRANCE|v.|extasiar, ravisser|
ENTRANCEHALL|n.|vestibul|
ENTRAP|v.|capter, atrappar|
ENTREAT|v.|implorar, suplicar|
ENTREE|n.|accesse; (dish) entré|
ENTRENCH|mil.|intranchear, fortificar|
ENTRUST|v.|confider, comisser|
ENTRY|n.|intrada; inscrition|
ENTWINE|v.|(inter)plecter, inlacear|
ENUMERATE|v.|enumerar (-ation, -ator)|
ENUNCIATE|v.|enunciar (-ation), declarar|
ENVELOP|v.|invelopar|
ENVELOPE|n.|covert|
ENVENOM|v.|venenar, exasperar|
ENVIRON|v.|circumdar, assediar|
ENVIRONMENT|n.|circumité, vicinité|
ENVISAGE|v.|contemplar, previder|
ENVOY|n.|inviato, legato|
ENVY|n.|invidie (-ar, -osi, -abil)|
ENWRAP|v.|invelopar, inballar|
EPAULETTE|n.|epolette|
EPHEMERAL|adj.|efemeri|
EPIC|adj.|epic|
EPIC|n.|epopé|
EPICURE|n.|epicuréo, gurmand(on)|
EPIDEMIC|n.|epidemie (-ic)|
EPIDERMIS|n.|epiderma (-al, -tic)|
EPIGRAM|n.|epigramma (-tic)|
EPILEPSY|n.|epilepSie (-tic)|
EPILOGUE|n.|epilog|
EPIPHANY|n.|epifanie|
EPISCOPAL|adj.|episcopal (-atu, -ia)|
EPISODE|n.|episode, incidente|
EPISTLE|n.|epistul (-ari)|
EPITAPH|n.|epitafie, inscrition|
EPITHET|n.|epitete|
EPITOME|n.|epitomé, compendie|
EPOCH|n.|epoca|
EPOPEE|n.|epopé|
EPOS|n.|epos|
EQUINE|adj.|cavallatri|
EQUABLE|adj.|placid, uniform, ínvariabil|
EQUAL|adj.|egal (-isar, -itá, -itari)|
EQUANIMITY|n.|calmesse, tranquilanimitá|
EQUATE|v.|egalisar|
EQUATION|n.|equation|
EQUATOR|n.|equator (-al)|
EQUERRY|n.|stall-mastro, oficero del reyal menage|
EQUESTRIAN|adj.|cavalcatori|
EQUESTRIAN|n.|cavalcator|
EQUI|prefix|as in English: equiangulari, -distant, -librie, -lateral, -noctie|
EQUIP|v.|equipar, provider (per), munir|
EQUIPAGE|n.|equipage, suita|
EQUIPMENT|n.|equipament, tacle|
EQUIPOISE|n.|equilibria|
EQUITABLE|adj.|just, ínpartial, equitabil|
EQUITY|n.|equitá|
EQUIVALENT|adj.|equivalent (-ie)|
EQUIVOCAL|adj.|ambigui, equivoc|
ERA|n.|era|
ERADICATE|v.|eradicar, extirpar|
ERASE|v.|efaciar, exscrapar, eraser (-ura)|
ERE|prep.|ante|
ERE LONG|adv.|bentost, pos ne long (témpor)|
ERECT|v.|erecter (-ion, -iv, -ibil); (mech.) monter|
ERGO|adv., conj.|ergo|
ERMINE|n.|hermeline; (fur) hermelin-pelisse|
ERODE|v.|eroDer (-sion, -siv)|
EROTIC|adj.|erotic|
ERR|v.|errar (-osi), vagar, deviar|
ERRAND|n.|missage, comission, comende|
ERRAND BOY|n.|missage-boy|
ERRONEOUS|adj.|íncorect, fals, errosi|
ERROR|n.|errore|
ERUCTATE|v.|ructar (-ation)|
ERUDITE|adj.|erudit, doct|
ERUPT|v.|erupter (-ion, -iv)|
ERYSIPELAS|n.|erisipel|
ESCALADE|n.|scalada|
ESCAPE|v.|escapar (-ation, -ada), evitar|
ESCAPEMENT|n.|ascapament, escapette|
ESCARPMENT|n.|scarpament|
ESCHEW|v.|evitar|
ESCORT|n.|escorte|
ESCORT|v.|escortar, acompaniar, convoyar|
ESCUTCHEON|n.|insigne, scud|
ESOTERIC|adj.|esoteric|
ESKIMO|n.|eskimó|
ESOPHAGUS|n.|esofag|
ESPALIER|n.|spaliere|
ESPECIAL|adj.|apart|
ESPECIALLY|adv.|precipue|
ESPIONAGE|n.|spionage|
ESPLANADE|n.|esplanade|
ESPOUSE|v.|maritar; suportar, defender|
ESPRIT|n.|esprite, genie|
ESPY|v.|percepter, vider|
ESSAY|n.|composition, essaye|
ESSAY|v.|essayar, provar, experimentar|
ESSENCE|n.|essentie (-al), spíritu, substantie|
ESTABLISH|v.|etablisser, fundar, instituer; (as a fact) constatar|
ESTATE|n.|proprieté, possedage; (land) domene; (state) statu, condition; rang|
ESTEEM|n.|estima|
ESTEEM|v.|estimar (-ation, -abil), respectar, considerar|
ESTIMATE|v.|apreciar, taxar; opiner, evaluar|
ESTRADE|n.|estrade|
ESTRANGE|v.|alienar|
ESTUARY|n.|estuarie, inboccatura|
ETC.|adv.|etcéteri, etc.|
ETCETERA|adv.|etcéteri, etc.|
ETCH|v.|rader|
ETCHING|n.|radura|
ETERNAL|adj.|etern (-itá, -isar)|
ETHER|n.|étere (-ic)|
ETHICAL|adj.|etic (-a)|
ETHNIC|adj.|etnic|
ETHNICAL|adj.|etnic|
ETHNOLOGY|n.|etnologie (-ie) etnica|
ETIOLOGY|n.|etiologie|
ETIQUETTE|n.|etiquette, ceremonials, more|
ETYMOLOGIST|n.|etimologo (-ic, -ie)|
EUCHARIST|n.|eucaristie|
EULOGISE|v.|laudar, glorificar|
EULOGY|n.|elogie, laudation, panegire|
EUNUCH|n.|eunuc, castrato|
EUPHEMISM|n.|eufemie|
EUPHONY|n.|eufonie (-ic), harmonie, bellsonantie|
EUPHUISM|n.|afectation, pedanteríe|
EVACUATE|v.|evacuar (-ation)|
EVADE|v.|evitar, evaDer (-sion, -siv); escapar|
EVANESCENT|adj.|desaparient, efemeri|
EVANGEL|n.|evangelie (-ic)|
EVAPORATE|v.|evaporar (-ation)|
EVE|n.|véspere|
EVEN|adv.|mem|
EVEN|adj.|(flat) plan, plat; (smooth) glatt; (equal) egal, quitt; (not odd) pari|
EVEN SO|adv.|e ancor|
EVENING|n.|véspere|
EVENING-DRESS|n.|costume de societé|
EVENT|n.|eveniment, eventu, casu|
EVENTUAL|adj.|resultant, final|
EVENTUALLY|adv.|finalmen, in fine|
EVER|adv.|sempre; (to show emphasis) -cunc; (at any time) alquande, jamá|
EVERGREEN|n.|(bot.) sempreverde|
EVERLASTING|adj.|etern, perpetui, continui|
EVERY|adj.|(each) chascun; (all) omni|
EVERYBODY|n.|chascun|
EVERYTHING|n.|omnicós, omno|
EVERYWHERE|adv.|partú, in omni loc|
EVICT|v.|evicter (-ion), expulser|
EVIDENCE|n.|testimonie, atestation, indicationes|
EVIDENT|adj.|evident|
EVIL|n.|male, lu mal|
EVIL|adj.|mal, malevolent, maliciosi|
EVINCE|v.|indicar, manifestar, monstrar|
EVISCERATE|v.|eviscerar|
EVOKE|v.|evocar (-ation)|
EVOLUTION|n.|evolution (-ari, -ist)|
EVOLVE|v.|evoluer, developar|
EWE|n.|agna|
EWER|n.|aquiere, aqua-cruche|
EX|prefix|as in English: ex-oficero, -presidente|
EXACERBATE|v.|exacerbar (-ation), agravar,|
EXACT|v.|exiger, extorDer, postular|
EXACT|adj.|exact (-itá), precisi|
EXAGGERATE|v.|exagerar (-ation)|
EXALT|v.|exaltar (-ation), laudar|
EXALTED|adj.|eminent, altissim, exaltat|
EXAMINE|v.|examinar (-ation, -ator), investigar; inquisir, provar; (med.) sondar|
EXAMPLE|n.|(instance) exemple; (copy) exemplare; (sample) mustre, specimen|
EXASPERATE|v.|exasperar (-ation), iritar|
EXCAVATE|v.|excavar (-ation, -ator), exfossar, subminar|
EXCEED|v.|exceder (-ent), transpassar,superar, superpassar|
EXCEEDINGLY|adv.|excessivmen, extremmen|
EXCEL|v.|exceller (-ent, -entie), eminer|
EXCEPT|conj.|except que, si ... ne|
EXCEPT|prep.|except|
EXCEPT|v.|excepter (-ion, -ional)|
EXCERPT|n.|excerpte (-er), resumé|
EXCESS|n.|excess|
EXCHANGE|n.|exchange; (building) burse|
EXCHANGE|v.|exchangear|
EXCHEQUER|n.|fisco, casse statal|
EXCISE|v.|exciser (-ion)|
EXCISE|n.|accise, impost|
EXCITE|v.|excitar (-abil, -ation, -ant)|
EXCLAIM|v.|exclamar (-ation, -ativ, -atori)|
EXCLUDE|v.|excluDer (-sion, -siv, -sivitá)|
EXCOMMUNICATE|v.|excomunier (-ion)|
EXCORIATE|v.|excoriar, scrappar|
EXCREMENT|n.|excrement (-ari), fecallia|
EXCRESCENCE|n.|excrescentie|
EXCRETE|v.|excreer (-tion)|
EXCRUCIATING|adj.|tormentant|
EXCULPATE|v.|exculpar (-ation)|
EXCURSION|n.|excursion, tur|
EXCUSE|n.|excusa (-ar); pretexte|
EXECRATE|v.|execrar (-abil, -ation), maledir, abominar|
EXECUTE|v.|executer (-ion, -iv, -ero, -ori)|
EXECUTIONER|n.|executor|
EXEMPLARY|adj.|exemplari, modellic|
EXEMPT|adj.|exempt (de)|
EXEMPT|v.|exempter (-ion)|
EXERCISE|v.|exercir (-ition, -ida), practicar|
EXERCISE-BOOK|n.|caderne|
EXERT|v.|efortiar se, penar, usar, aplicar|
EXERTIONS|n.|strapacie, labore|
EXHALE|v.|exhalar (-ation)|
EXHAUST|n.|(mech.) escapament|
EXHAUST|v.|exhauster (-ion, -iv); (empty) vacuar|
EXHIBIT|v.|exhibir (-tion), exposir, monstrar|
EXHILARATE|v.|alegrar, invigorar|
EXHORT|v.|exhortar (-ation) monir|
EXHUME|v.|exhumar (-ation)|
EXIGENCY|n.|exigentie, beson, urgentie|
EXIGUOUS|adj.|scarsi; litt|
EXILE|n.|exilie (-ar); (person) exiliate|
EXIST|v.|exister (-entie)|
EXIT|n.|exeada, surtida|
EXONERATE|v.|exonerar (-ation)|
EXORBITANT|adj.|excessiv, exorbitant, ínmoderat|
EXORCISE|v.|exorcisar, exsorciar|
EXOTIC|adj.|exotic|
EXPAND|v.|expanDer (-sion, -siv, -sibil), dilatar|
EXPANSE|n.|expansion, extension, area|
EXPATIATE|adv.|detalliatmen tractar, explicar|
EXPATRIATE|v.|expatriar, exiliar; (oneself) emigrar|
EXPECT|v.|expectar (-ation)|
EXPECTORATE|v.|expectorar, exsputar|
EXPEDIENT|adj.|prudent, oportun|
EXPEDIENT|n.|expediente, medie|
EXPEDITION|n.|expedition; (promptitude) promptitá, celeritá|
EXPEL|v.|ejecter, expulser; demisser|
EXPEND|v.|expenser, consumar|
EXPENDITE|v.|expedir, inviar; accelerar|
EXPENSE|n.|expense (-iv), custas|
EXPERIENCE|v.|experir (-entie)|
EXPERIMENT|n.|experiment (-ar), essaye, prova|
EXPERT|adj.|expert, versat in|
EXPIATE|v.|expiar, peniter|
EXPIRE|v.|expirar (-ation), exhalar, morir; (to end) terminar|
EXPLAIN|v.|explicar (-ation)|
EXPLETIVE|n.|maledition|
EXPLICIT|adj.|explicit, precisi, distint, clar|
EXPLODE|v.|exploDer (-sion, -siv, -sive); (tr.) explodentar|
EXPLOIT|n.|grand, heroic action|
EXPLOIT|v.|explotar (-ation, -ero)|
EXPLORE|v.|explorar (-ation, -ator)|
EXPONENT|n.|exponent, expositor|
EXPORT|v.|exportar (-ation, -ator)|
EXPOSE|v.|exposir (-ition, -itor), decovrir|
EXPOSTULATE|v.|protestar, reprochar|
EXPOSURE|n.|exposition; manca de protection|
EXPOUND|v.|explicar, interpretar|
EXPRESS|adj.|express; (definite) definitiv|
EXPRESS|v.|expresser (-ion, -iv, -ivitá)|
EXPRESSLY|adv.|intentionalmen|
EXPROPRIATE|v.|expropriar, privar (de)|
EXPULSION|n.|expulsion|
EXPUNGE|v.|efaciar|
EXPURGATE|v.|expurgar (-ation)|
EXQUISITE|adj.|exquisit, rafinat|
EXTANT|adj.|existent|
EXTASY|n.|extase (-tic)|XXX FIXME -- "-tic" -> "-ic"?
EXTEMPORE|adj., adv.|exprompte, improvisat|XXX FIXME -- "exprompte"?
EXTEND|v.|extenDer (-sion, -siv, -sibil); (the fife of) prorogar|
EXTENT|n.|gradu, dimension|
EXTENUATE|v.|extenuar (-ation), palliar, mitigar, eufemiar|
EXTERIOR|adj.|exteriori|
EXTERIOR|n.|exteriore|
EXTERMINATE|v.|exterminar (-ation), extirpar|
EXTERNAL|adj.|extern|
EXTINCT|adj.|extint(et) (-ion)|
EXTINGUISH|v.|extinter|
EXTIRPATE|v.|extirpar (-ation)|
EXTOL|v.|laudar, glorificar|
EXTORT|v.|extorDer (-sion, -siv)|
EXTORTIONATE|adj.|extorsiv, ínmoderat, excessiv|
EXTRA|adj.|extra, suplementari|
EXTRACT|n.|extracte|
EXTRACT|v.|extracter (-ion)|
EXTRADITE|v.|extradir (-ition)|
EXTRANEOUS|adj.|extran, foren, extern|
EXTRAORDINARY|adj.|extraordinari|
EXTRAVAGANT|adj.|extravagant (-ie)|
EXTREME|adj.|extrem (-ist, -itá, -isme)|
EXTRICATE|v.|extirar, debarassar|
EXTRINSIC|adj.|extrinsic|
